name,team,1Bprob,2Bprob,3Bprob,HRprob,BA
"Jose Abreu","Chicago White Sox",0.6831,0.1749,0.0055,0.1366,0.2933
"Dustin Ackley","New York Yankees",1.0000,0.0000,0.0000,0.0000,0.1475
"Cristhian Adames","Colorado Rockies",0.7551,0.1429,0.0612,0.0408,0.2178
"Matt Adams","St. Louis Cardinals",0.5405,0.2432,0.0000,0.2162,0.2492
"Ehire Adrianza","San Francisco Giants",0.7500,0.1250,0.0000,0.1250,0.2540
"Nick Ahmed","Arizona Diamondbacks",0.7742,0.1452,0.0161,0.0645,0.2183
"Hanser Alberto","Texas Rangers",0.8750,0.1250,0.0000,0.0000,0.1429
"Abraham Almonte","Cleveland Indians",0.5417,0.4167,0.0208,0.0208,0.2637
"Albert Almora","Chicago Cubs",0.5806,0.2903,0.0323,0.0968,0.2768
"Yonder Alonso","Oakland Athletics",0.6639,0.2787,0.0000,0.0574,0.2531
"Aaron Altherr","Philadelphia Phillies",0.7436,0.1538,0.0000,0.1026,0.1970
"Jose Altuve","Houston Astros",0.6713,0.1944,0.0231,0.1111,0.3375
"Pedro Alvarez","Baltimore Orioles",0.5000,0.2381,0.0000,0.2619,0.2493
"Alexi Amarista","San Diego Padres",0.9444,0.0556,0.0000,0.0000,0.2571
"Chase Anderson","Milwaukee Brewers",1.0000,0.0000,0.0000,0.0000,0.0889
"Tim Anderson","Chicago White Sox",0.6810,0.1897,0.0517,0.0776,0.2829
"Tyler Anderson","Colorado Rockies",0.7500,0.0000,0.0000,0.2500,0.1143
"Elvis Andrus","Texas Rangers",0.6993,0.2026,0.0458,0.0523,0.3024
"Nori Aoki","Seattle Mariners",0.7288,0.2034,0.0339,0.0339,0.2830
"Orlando Arcia","Milwaukee Brewers",0.6136,0.2273,0.0682,0.0909,0.2189
"Oswaldo Arcia","Minnesota Twins",0.6364,0.1818,0.0000,0.1818,0.2136
"Oswaldo Arcia","Tampa Bay Rays",0.6429,0.1429,0.0714,0.1429,0.2593
"Oswaldo Arcia","San Diego Padres",0.4000,0.2000,0.0000,0.4000,0.1163
"Nolan Arenado","Colorado Rockies",0.5495,0.1923,0.0330,0.2253,0.2945
"Jake Arrieta","Chicago Cubs",0.7059,0.1176,0.0588,0.1176,0.2615
"Cody Asche","Philadelphia Phillies",0.5476,0.3571,0.0000,0.0952,0.2132
"Tyler Austin","New York Yankees",0.6000,0.1500,0.0000,0.2500,0.2410
"Alex Avila","Chicago White Sox",0.6389,0.1667,0.0000,0.1944,0.2130
"Mike Aviles","Detroit Tigers",0.8000,0.1429,0.0286,0.0286,0.2096
"Erick Aybar","Atlanta Braves",0.7778,0.1728,0.0247,0.0247,0.2418
"Erick Aybar","Detroit Tigers",0.7000,0.2500,0.0000,0.0500,0.2500
"Javier Baez","Chicago Cubs",0.7043,0.1652,0.0087,0.1217,0.2732
"Jett Bandy","Los Angeles Angels of Anaheim",0.6531,0.1837,0.0000,0.1633,0.2344
"Austin Barnes","Los Angeles Dodgers",0.8000,0.2000,0.0000,0.0000,0.1563
"Brandon Barnes","Colorado Rockies",0.6364,0.2727,0.0909,0.0000,0.2200
"Darwin Barney","Toronto Blue Jays",0.7467,0.1733,0.0267,0.0533,0.2688
"Tucker Barnhart","Cincinnati Reds",0.6804,0.2371,0.0103,0.0722,0.2573
"Jose Bautista","Toronto Blue Jays",0.5253,0.2424,0.0101,0.2222,0.2340
"Gordon Beckham","Atlanta Braves",0.5769,0.3077,0.0192,0.0962,0.2167
"Tim Beckham","Tampa Bay Rays",0.5510,0.2449,0.1020,0.1020,0.2475
"Josh Bell","Pittsburgh Pirates",0.6857,0.2286,0.0000,0.0857,0.2734
"Brandon Belt","San Francisco Giants",0.5570,0.2752,0.0537,0.1141,0.2749
"Adrian Beltre","Texas Rangers",0.6343,0.1771,0.0057,0.1829,0.3002
"Carlos Beltran","New York Yankees",0.6055,0.1927,0.0000,0.2018,0.3036
"Carlos Beltran","Texas Rangers",0.6481,0.2222,0.0000,0.1296,0.2798
"Andrew Benintendi","Boston Red Sox",0.5484,0.3548,0.0323,0.0645,0.2952
"Christian Bethancourt","San Diego Padres",0.6591,0.2045,0.0000,0.1364,0.2280
"Chad Bettis","Colorado Rockies",1.0000,0.0000,0.0000,0.0000,0.0408
"Mookie Betts","Boston Red Sox",0.6355,0.1963,0.0234,0.1449,0.3185
"Charlie Blackmon","Colorado Rockies",0.6310,0.1872,0.0267,0.1551,0.3235
"Andres Blanco","Philadelphia Phillies",0.5833,0.3125,0.0208,0.0833,0.2526
"Gregor Blanco","San Francisco Giants",0.7222,0.1852,0.0741,0.0185,0.2241
"Jabari Blash","San Diego Padres",0.5833,0.1667,0.0000,0.2500,0.1690
"Xander Bogaerts","Boston Red Sox",0.7083,0.1771,0.0052,0.1094,0.2945
"Emilio Bonifacio","Atlanta Braves",1.0000,0.0000,0.0000,0.0000,0.2105
"Peter Bourjos","Philadelphia Phillies",0.6404,0.2247,0.0787,0.0562,0.2507
"Justin Bour","Miami Marlins",0.6216,0.1622,0.0135,0.2027,0.2643
"Michael Bourn","Arizona Diamondbacks",0.7558,0.1395,0.0698,0.0349,0.2614
"Michael Bourn","Baltimore Orioles",0.7692,0.0769,0.0000,0.1538,0.2826
"Archie Bradley","Arizona Diamondbacks",1.0000,0.0000,0.0000,0.0000,0.0698
"Jackie Bradley","Boston Red Sox",0.5772,0.2013,0.0470,0.1745,0.2670
"Michael Brantley","Cleveland Indians",0.7778,0.2222,0.0000,0.0000,0.2308
"Ryan Braun","Milwaukee Brewers",0.6410,0.1474,0.0192,0.1923,0.3053
"Alex Bregman","Houston Astros",0.5472,0.2453,0.0566,0.1509,0.2637
"Bryce Brentz","Boston Red Sox",0.7647,0.1765,0.0000,0.0588,0.2787
"Socrates Brito","Arizona Diamondbacks",0.5294,0.1765,0.0588,0.2353,0.1789
"Trevor Brown","San Francisco Giants",0.7073,0.1707,0.0000,0.1220,0.2370
"Keon Broxton","Milwaukee Brewers",0.6000,0.2000,0.0200,0.1800,0.2415
"Jay Bruce","Cincinnati Reds",0.4592,0.2245,0.0612,0.2551,0.2649
"Jay Bruce","New York Mets",0.6486,0.1351,0.0000,0.2162,0.2189
"Kris Bryant","Chicago Cubs",0.5625,0.1989,0.0170,0.2216,0.2919
"Madison Bumgarner","San Francisco Giants",0.4375,0.3750,0.0000,0.1875,0.1860
"Billy Burns","Oakland Athletics",0.7656,0.1719,0.0625,0.0000,0.2336
"Billy Burns","Kansas City Royals",1.0000,0.0000,0.0000,0.0000,0.2432
"Emmanuel Burriss","Philadelphia Phillies",0.6000,0.2000,0.2000,0.0000,0.1111
"Nick Buss","Los Angeles Angels of Anaheim",0.4375,0.4375,0.0625,0.0625,0.1975
"Drew Butera","Kansas City Royals",0.5714,0.2857,0.0286,0.1143,0.2846
"Billy Butler","Oakland Athletics",0.6721,0.2623,0.0000,0.0656,0.2760
"Byron Buxton","Minnesota Twins",0.4776,0.2836,0.0896,0.1493,0.2248
"Marlon Byrd","Cleveland Indians",0.6452,0.1935,0.0000,0.1613,0.2696
"Asdrubal Cabrera","New York Mets",0.6301,0.2055,0.0068,0.1575,0.2802
"Melky Cabrera","Chicago White Sox",0.6514,0.2400,0.0286,0.0800,0.2961
"Miguel Cabrera","Detroit Tigers",0.6277,0.1649,0.0053,0.2021,0.3160
"Ramon Cabrera","Cincinnati Reds",0.6905,0.2381,0.0000,0.0714,0.2456
"Lorenzo Cain","Kansas City Royals",0.7456,0.1667,0.0088,0.0789,0.2872
"Kole Calhoun","Los Angeles Angels of Anaheim",0.6398,0.2174,0.0311,0.1118,0.2710
"Eric Campbell","New York Mets",0.8462,0.0769,0.0000,0.0769,0.1733
"Mark Canha","Oakland Athletics",0.4000,0.0000,0.0000,0.6000,0.1220
"Robinson Cano","Seattle Mariners",0.6205,0.1692,0.0103,0.2000,0.2977
"Stephen Cardullo","Colorado Rockies",0.5000,0.2500,0.0833,0.1667,0.2143
"Matt Carpenter","St. Louis Cardinals",0.5078,0.2813,0.0469,0.1641,0.2706
"Ezequiel Carrera","Toronto Blue Jays",0.7612,0.1343,0.0149,0.0896,0.2481
"Chris Carter","Milwaukee Brewers",0.4344,0.2213,0.0082,0.3361,0.2222
"Curt Casali","Tampa Bay Rays",0.5714,0.2381,0.0000,0.1905,0.1858
"Nick Castellanos","Detroit Tigers",0.5983,0.2137,0.0342,0.1538,0.2847
"Welington Castillo","Arizona Diamondbacks",0.6545,0.2182,0.0000,0.1273,0.2644
"Daniel Castro","Atlanta Braves",0.9615,0.0385,0.0000,0.0000,0.2000
"Jason Castro","Houston Astros",0.5652,0.2319,0.0435,0.1594,0.2097
"Starlin Castro","New York Yankees",0.6731,0.1859,0.0064,0.1346,0.2704
"Juan Centeno","Minnesota Twins",0.6522,0.2609,0.0217,0.0652,0.2614
"Francisco Cervelli","Pittsburgh Pirates",0.8140,0.1628,0.0116,0.0116,0.2638
"Yoenis Cespedes","New York Mets",0.5746,0.1866,0.0075,0.2313,0.2797
"Tyler Chatwood","Colorado Rockies",0.9000,0.0000,0.1000,0.0000,0.1887
"Wei-Yin Chen","Miami Marlins",NULL,NULL,NULL,NULL,0.0000
"Robinson Chirinos","Texas Rangers",0.3939,0.3333,0.0000,0.2727,0.2245
"Lonnie Chisenhall","Cleveland Indians",0.6545,0.2273,0.0455,0.0727,0.2857
"Ji-Man Choi","Los Angeles Angels of Anaheim",0.5263,0.2105,0.0000,0.2632,0.1696
"Shin-Soo Choo","Texas Rangers",0.6744,0.1628,0.0000,0.1628,0.2416
"Steve Clevenger","Seattle Mariners",0.7333,0.2000,0.0000,0.0667,0.2206
"Jason Coats","Chicago White Sox",0.5000,0.4000,0.0000,0.1000,0.2000
"Chris Coghlan","Oakland Athletics",0.5652,0.2174,0.0000,0.2174,0.1456
"Chris Coghlan","Chicago Cubs",0.6154,0.2692,0.0769,0.0385,0.2524
"Gerrit Cole","Pittsburgh Pirates",0.7500,0.1250,0.0000,0.1250,0.2000
"Tyler Collins","Detroit Tigers",0.7188,0.0625,0.0938,0.1250,0.2353
"Bartolo Colon","New York Mets",0.4000,0.4000,0.0000,0.2000,0.0833
"Christian Colon","Kansas City Royals",0.7941,0.1765,0.0000,0.0294,0.2313
"Michael Conforto","New York Mets",0.4925,0.3134,0.0149,0.1791,0.2204
"Hank Conger","Tampa Bay Rays",0.6667,0.2083,0.0000,0.1250,0.1935
"Adam Conley","Miami Marlins",1.0000,0.0000,0.0000,0.0000,0.1220
"Willson Contreras","Chicago Cubs",0.6197,0.1972,0.0141,0.1690,0.2817
"Patrick Corbin","Arizona Diamondbacks",0.7333,0.2000,0.0667,0.0000,0.3061
"Carlos Correa","Houston Astros",0.6266,0.2278,0.0190,0.1266,0.2738
"Kaleb Cowart","Los Angeles Angels of Anaheim",0.6667,0.2667,0.0000,0.0667,0.1765
"Zack Cozart","Cincinnati Reds",0.6068,0.2393,0.0171,0.1368,0.2522
"Brandon Crawford","San Francisco Giants",0.6645,0.1842,0.0724,0.0789,0.2749
"Carl Crawford","Los Angeles Dodgers",0.8000,0.1333,0.0667,0.0000,0.1852
"Coco Crisp","Oakland Athletics",0.5761,0.2609,0.0435,0.1196,0.2341
"Coco Crisp","Cleveland Indians",0.5455,0.2727,0.0000,0.1818,0.2075
"C. J. Cron","Los Angeles Angels of Anaheim",0.6195,0.2212,0.0177,0.1416,0.2776
"Nelson Cruz","Seattle Mariners",0.5799,0.1598,0.0059,0.2544,0.2869
"Johnny Cueto","San Francisco Giants",1.0000,0.0000,0.0000,0.0000,0.1143
"Charlie Culberson","Los Angeles Dodgers",0.8000,0.1500,0.0000,0.0500,0.2985
"Cheslor Cuthbert","Kansas City Royals",0.6846,0.2154,0.0077,0.0923,0.2737
"David Dahl","Colorado Rockies",0.6714,0.1714,0.0571,0.1000,0.3153
"Chase d'Arnaud","Atlanta Braves",0.7018,0.2456,0.0351,0.0175,0.2446
"Travis d'Arnaud","New York Mets",0.8226,0.1129,0.0000,0.0645,0.2470
"Zach Davies","Milwaukee Brewers",1.0000,0.0000,0.0000,0.0000,0.0943
"Chris Davis","Baltimore Orioles",0.5280,0.1680,0.0000,0.3040,0.2208
"Khris Davis","Oakland Athletics",0.5036,0.1752,0.0146,0.3066,0.2468
"Rajai Davis","Cleveland Indians",0.6726,0.2035,0.0177,0.1062,0.2489
"Alejandro De Aza","New York Mets",0.6875,0.1875,0.0000,0.1250,0.2051
"Jaff Decker","Tampa Bay Rays",0.8750,0.1250,0.0000,0.0000,0.1538
"Jacob deGrom","New York Mets",0.8333,0.1667,0.0000,0.0000,0.1429
"Ivan De Jesus","Cincinnati Reds",0.8036,0.1786,0.0000,0.0179,0.2534
"Jorge De La Rosa","Colorado Rockies",1.0000,0.0000,0.0000,0.0000,0.1842
"Matt den Dekker","Washington Nationals",0.6667,0.1667,0.0000,0.1667,0.1765
"Daniel Descalso","Colorado Rockies",0.6667,0.1818,0.0303,0.1212,0.2640
"Anthony DeSclafani","Cincinnati Reds",0.8000,0.2000,0.0000,0.0000,0.1220
"Delino DeShields","Texas Rangers",0.7105,0.1842,0.0000,0.1053,0.2088
"Ian Desmond","Texas Rangers",0.6966,0.1629,0.0169,0.1236,0.2848
"Aledmys Diaz","St. Louis Cardinals",0.6033,0.2314,0.0248,0.1405,0.2995
"Alex Dickerson","San Diego Padres",0.5692,0.2462,0.0308,0.1538,0.2569
"Corey Dickerson","Tampa Bay Rays",0.4960,0.2880,0.0240,0.1920,0.2451
"Derek Dietrich","Miami Marlins",0.6735,0.2041,0.0510,0.0714,0.2792
"Wilmer Difo","Washington Nationals",0.7500,0.1875,0.0000,0.0625,0.2759
"Josh Donaldson","Toronto Blue Jays",0.5488,0.1951,0.0305,0.2256,0.2842
"Brian Dozier","Minnesota Twins",0.5030,0.2121,0.0303,0.2545,0.2683
"Stephen Drew","Washington Nationals",0.4737,0.2895,0.0263,0.2105,0.2657
"Brandon Drury","Arizona Diamondbacks",0.6308,0.2385,0.0077,0.1231,0.2820
"Lucas Duda","New York Mets",0.6000,0.2000,0.0000,0.2000,0.2288
"Matt Duffy","San Francisco Giants",0.7385,0.1692,0.0308,0.0615,0.2529
"Matt Duffy","Tampa Bay Rays",0.8095,0.1429,0.0000,0.0476,0.2763
"Adam Duvall","Cincinnati Reds",0.4737,0.2331,0.0451,0.2481,0.2409
"Jarrod Dyson","Kansas City Royals",0.7229,0.1687,0.0964,0.0120,0.2776
"Adam Eaton","Chicago White Sox",0.7045,0.1648,0.0511,0.0795,0.2843
"Brett Eibner","Kansas City Royals",0.5000,0.3333,0.0000,0.1667,0.2308
"Brett Eibner","Oakland Athletics",0.5556,0.2222,0.0556,0.1667,0.1651
"Jerad Eickhoff","Philadelphia Phillies",0.6250,0.3750,0.0000,0.0000,0.1311
"A. J. Ellis","Los Angeles Dodgers",0.7778,0.1852,0.0000,0.0370,0.1942
"A. J. Ellis","Philadelphia Phillies",0.6000,0.3000,0.0000,0.1000,0.3125
"Jacoby Ellsbury","New York Yankees",0.7379,0.1655,0.0345,0.0621,0.2632
"Jake Elmore","Milwaukee Brewers",0.8824,0.1176,0.0000,0.0000,0.2179
"Edwin Encarnacion","Toronto Blue Jays",0.5190,0.2152,0.0000,0.2658,0.2629
"Alcides Escobar","Kansas City Royals",0.7771,0.1446,0.0361,0.0422,0.2606
"Eduardo Escobar","Minnesota Twins",0.7349,0.1687,0.0241,0.0723,0.2358
"Yunel Escobar","Los Angeles Angels of Anaheim",0.7834,0.1783,0.0064,0.0318,0.3037
"Danny Espinosa","Washington Nationals",0.6389,0.1389,0.0000,0.2222,0.2093
"Tim Federowicz","Chicago Cubs",0.6667,0.3333,0.0000,0.0000,0.1935
"Jose Fernandez","Miami Marlins",0.8462,0.1538,0.0000,0.0000,0.2500
"Prince Fielder","Texas Rangers",0.6522,0.2319,0.0000,0.1159,0.2117
"Brandon Finnegan","Cincinnati Reds",0.6667,0.3333,0.0000,0.0000,0.1132
"Ryan Flaherty","Baltimore Orioles",0.7059,0.2059,0.0000,0.0882,0.2166
"Ramon Flores","Milwaukee Brewers",0.8039,0.1569,0.0000,0.0392,0.2048
"Wilmer Flores","New York Mets",0.6341,0.1707,0.0000,0.1951,0.2671
"Tyler Flowers","Atlanta Braves",0.6579,0.2368,0.0000,0.1053,0.2705
"Mike Foltynewicz","Atlanta Braves",0.8000,0.2000,0.0000,0.0000,0.1389
"Logan Forsythe","Tampa Bay Rays",0.6444,0.1778,0.0296,0.1481,0.2642
"Dexter Fowler","Chicago Cubs",0.6429,0.1984,0.0556,0.1032,0.2763
"Jeff Francoeur","Atlanta Braves",0.6875,0.2031,0.0000,0.1094,0.2490
"Jeff Francoeur","Miami Marlins",0.7857,0.1429,0.0714,0.0000,0.2800
"Maikel Franco","Philadelphia Phillies",0.6689,0.1554,0.0068,0.1689,0.2547
"Nick Franklin","Tampa Bay Rays",0.6383,0.2128,0.0213,0.1277,0.2701
"Adam Frazier","Pittsburgh Pirates",0.7500,0.1818,0.0227,0.0455,0.3014
"Todd Frazier","Chicago White Sox",0.5414,0.1579,0.0000,0.3008,0.2254
"Freddie Freeman","Atlanta Braves",0.5337,0.2416,0.0337,0.1910,0.3022
"David Freese","Pittsburgh Pirates",0.6949,0.1949,0.0000,0.1102,0.2700
"Christian Friedrich","San Diego Padres",1.0000,0.0000,0.0000,0.0000,0.0541
"Eric Fryer","St. Louis Cardinals",0.8571,0.1429,0.0000,0.0000,0.3684
"Eric Fryer","Pittsburgh Pirates",0.8235,0.1176,0.0588,0.0000,0.2179
"Reymond Fuentes","Kansas City Royals",0.9231,0.0769,0.0000,0.0000,0.3171
"Freddy Galvis","Philadelphia Phillies",0.6525,0.1844,0.0213,0.1418,0.2414
"Ben Gamel","Seattle Mariners",0.6250,0.2500,0.0000,0.1250,0.2000
"Adonis Garcia","Atlanta Braves",0.7034,0.2000,0.0000,0.0966,0.2726
"Avisail Garcia","Chicago White Sox",0.6832,0.1782,0.0198,0.1188,0.2446
"Greg Garcia","St. Louis Cardinals",0.7627,0.1864,0.0000,0.0508,0.2757
"Jaime Garcia","St. Louis Cardinals",1.0000,0.0000,0.0000,0.0000,0.1707
"Leury Garcia","Chicago White Sox",0.7273,0.0909,0.0909,0.0909,0.2292
